Country1,Country2,
Belize, Mexico,
Canada, United States of America,
Costa Rica, Nicaragua ,
Costa Rica, Panama,
Guatemala, Mexico,
Guatemala, El Salvador,
Honduras, El Salvador,
Honduras, Nicaragua,
Mexico, United States of America, 
Panama, Colombia ,
Argentina, Bolivia,
Argentina, Brazil,
Argentina, Chile,
Argentina, Paraguay,
Argentina, Uruguay,
Bolivia, Brazil,
Bolivia, Chile,
Bolivia, Paraguay,
Bolivia, Peru,
Brazil, Colombia,
Brazil, Guyana,
Brazil, Paraguay,
Brazil, Peru,
Brazil, Suriname,
Brazil, Uruguay,
Brazil, Venezuela,
Chile, Peru,
Colombia, Ecuador,
Colombia, Peru,
Colombia, Venezuela,
Ecuador, Peru,
Guiana, Suriname,
Guiana, Venezuela,
Albania, Greece,
Albania, Macedonia,
Albania, Montenegro,
Albania, Kosovo,
Germany, Austria,
Germany, Belgium,
Germany, Denmark,
Germany, France,
Germany, Netherlands,
Germany, Luxembourg,
Germany, Poland,
Germany, Czech Republic,
Germany, Switzerland,
Armenia, Georgia,
Armenia, Turkey,
Austria, Slovakia,
Austria, Slovenia,
Austria, Hungary,
Austria, Italy,
Austria, Liechtenstein,
Austria, Czech Republic,
Austria, Switzerland,
Belgium, France,
Belgium, Netherlands,
Belgium, Luxembourg,
Belarus, Latvia,
Belarus, Lithuania,
Belarus, Poland,
Belarus, Russia,
Belarus, Ukraine,
Bosnia, Croatia,
Bosnia, Montenegro,
Bosnia, Serbia,
Bulgaria, Greece,
Bulgaria, Macedonia,
Bulgaria, Romania,
Bulgaria, Serbia,
Bulgaria, Turkey,
Croatia, Slovenia,
Croatia, Hungary,
Croatia, Montenegro,
Croatia, Serbia,
Slovakia, Hungary,
Slovakia, Poland,
Slovakia, Czech Republic,
Slovakia, Ukraine,
Slovenia, Hungary,
Slovenia, Italy,
Spain, France,
Spain, Portugal,
Estonia, Latvia,
Estonia, Russia,
Finland, Norway,
Finland, Russia,
Finland, Sweden,
France, Italy,
France, Luxembourg,
France, Monaco,
France, Switzerland,
Georgia, Russia,
Georgia, Turkey,
Greece, Macedonia,
Greece, Turkey,
Hungary, Romania,
Hungary, Serbia,
Hungary, Ukraine,
Ireland, United Kingdom,
Italy, Switzerland,
Kosovo, Macedonia,
Kosovo, Montenegro,
Kosovo, Serbia,
Latvia, Lithuania,
Latvia, Russia,
Liechtenstein, Switzerland,
Lithuania, Poland,
Lithuania, Russia,
Macedonia, Serbia,
Moldova, Romania,
Moldova, Ukraine,
Norway, Sweden,
Norway, Russia,
Montenegro, Serbia,
Poland, Czech Republic,
Poland, Russia,
Poland, Ukraine,
Romania, Serbia,
Romania, Ukraine,
Russia, Ukraine,
