Continent,Alpha2-Code,Alpha3-Code,Country,Population,Capital,Latitude,Longitude
Europe,CY,CYP,Cyprus,0.85,Nicosia,35.16666667,33.366667
Europe,MT,MLT,Malta,0.44,Valletta,35.88333333,14.5
Europe,GR,GRC,Greece,10.76,Athens,37.98333333,23.733333
Europe,PT,PRT,Portugal,10.31,Lisbon,38.71666667,-9.133333
Europe,TR,TUR,Turkey,79.81,Ankara,39.93333333,32.866667
Asia,JP,JAP,Japan,0,0,0
Europe,AM,ARM,Armenia,3.01,Yerevan,40.16666667,44.5
Europe,ES,ESP,Spain,46.53,Madrid,40.4,-3.683333
Europe,AL,ALB,Albania,2.88,Tirana,41.31666667,19.816667
Europe,AL,ALB,Albania,2.88,Tirana,41.31666667,19.816667
