MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
123456788,31/12/2020 00:39,27.86118,-78.01013,12.9,13.1,355,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
123456788,31/12/2020 00:45,30.52141,-80.54852,12.5,2.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
123456789,31/12/2020 00:50,27.86100,-78.01016,11.7,119.9,117,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,A
123456789,31/12/2020 01:00,30.52143,-80.54854,11.7,116.6,114,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,B
123456790,31/12/2020 01:20,29.86118,-75.01013,11.7,129.9,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
123456790,31/12/2020 01:39,40.52141,-78.54852,11.5,131,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
123456791,31/12/2020 01:50,29.86100,-75.01016,19.4,-111.4,297,ARCTIC AURORA,IMO9645970,9HA3589,80,288,44,12.5,NA,B
123456791,31/12/2020 02:00,40.52143,-78.54854,19.4,-111.7,296,ARCTIC AURORA,IMO9645970,9HA3589,80,288,44,12.5,NA,B
636019825,31/12/2020 23:35,54.27664,-164.10602,9.3,-133,276,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:32,54.27531,-164.09338,9.5,-135.3,275,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:49,54.28279,-164.16935,9.4,-129.5,274,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:48,54.28232,-164.1642,9.8,-122.7,274,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:45,54.28124,-164.15213,9.8,-125,274,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:29,54.27402,-164.08163,9.5,-132.4,276,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:55,54.28548,-164.19712,9,-132.6,272,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:58,54.28661,-164.20854,9.2,-135.2,273,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:56,54.28601,-164.20205,9.2,-128.5,273,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:38,54.27817,-164.12098,9.7,-129.9,275,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
636019825,31/12/2020 23:36,54.27718,-164.11121,9.7,-129.1,274,CONTI LYON,IMO9222285,D5WI6,79,300,40,9.2,79,B
