from_country,from_port_id,from_port,to_country,to_port_id,to_port,sea_distance
Denmark,10358,Aarhus,Turkey,246265,Ambarli,3673
Denmark,10358,Aarhus,Greece,21863,Aspropyrgos,3377
Denmark,10358,Aarhus,Panama,216593,Balboa,5159
Denmark,10358,Aarhus,Spain,17386,Barcelona,2403
Denmark,10358,Aarhus,Georgia,18137,Batumi,4274
Denmark,10358,Aarhus,Norway,26147,Bergen,433
Denmark,10358,Aarhus,Tunisia,23448,Bizerte,2631
Denmark,10358,Aarhus,France,18012,Brest,1004
Denmark,10358,Aarhus,Peru,30045,Callao,6499
Denmark,10358,Aarhus,Romania,14459,Constantza,3884
Denmark,10358,Aarhus,Denmark,10563,Copenhagen,113
Denmark,10358,Aarhus,Panama,216592,Cristobal,5120
Denmark,10358,Aarhus,El Salvador,15107,Cutuco,5900
Denmark,10358,Aarhus,Ireland,29749,Dublin,996
Denmark,10358,Aarhus,France,18326,Dunkirk,668
Denmark,10358,Aarhus,Ecuador,14226,Esmeraldas,5639
Denmark,10358,Aarhus,Ukraine,213737,Feodosia,4079
Denmark,10358,Aarhus,Portugal,23428,Funchal,2058
Denmark,10358,Aarhus,Tunisia,23495,Gabes,2923
Denmark,10358,Aarhus,Romania,14470,Galatz,4008
Denmark,10358,Aarhus,Poland,12543,Gdansk,379
Denmark,10358,Aarhus,Italy,11174,Genoa,2735
Denmark,10358,Aarhus,Puerto Rico,13610,Guanica,4312
Denmark,10358,Aarhus,Ecuador,29876,Guayaquil,5996
Denmark,10358,Aarhus,Germany,224858,Hamburg,223
Denmark,10358,Aarhus,Finland,16485,Helsinki,663
Denmark,10358,Aarhus,Slovenia,24795,Izola,3532
Denmark,10358,Aarhus,Russia,11771,Kaliningrad,410
Denmark,10358,Aarhus,Slovenia,21381,Koper,3532
Denmark,10358,Aarhus,Finland,16737,Kotka,716
Denmark,10358,Aarhus,Portugal,13012,Leixoes,1457
Denmark,10358,Aarhus,United Kingdom,29002,Liverpool,1026
Denmark,10358,Aarhus,United Kingdom,29239,London,681
Denmark,10358,Aarhus,United States,14635,Los Angeles,8071
Denmark,10358,Aarhus,Sweden,20512,Lysekil,183
Denmark,10358,Aarhus,Mexico,14277,Manzanillo,6884
Denmark,10358,Aarhus,Venezuela,19974,Maracaibo,4781
Denmark,10358,Aarhus,Peru,10860,Matarani,6934
Denmark,10358,Aarhus,Turkey,22522,Mersin,3849
Denmark,10358,Aarhus,Monaco,21457,Monaco,2657
Denmark,10358,Aarhus,Uruguay,17941,Montevideo,6771
Denmark,10358,Aarhus,Norway,27728,Narvik,1035
Denmark,10358,Aarhus,United States,25007,New Jersey,3658
Denmark,10358,Aarhus,Greece,21852,Piraeus,3369
Denmark,10358,Aarhus,Slovenia,22770,Piran,3532
Denmark,10358,Aarhus,Georgia,18682,Poti,4291
Denmark,10358,Aarhus,Guatemala,29973,Puerto Quetzal,6048
Denmark,10358,Aarhus,Germany,20072,Rostock,158
Denmark,10358,Aarhus,Puerto Rico,13756,San Juan,4201
Denmark,10358,Aarhus,Portugal,13390,Setubal,1639
Denmark,10358,Aarhus,Russia,18454,St Petersburg,805
Denmark,10358,Aarhus,Sweden,21206,Stockholm,536
Denmark,10358,Aarhus,Estonia,18867,Tallinn,640
Denmark,10358,Aarhus,Spain,18937,Valencia,2275
Denmark,10358,Aarhus,Italy,13176,Venice,3552
Denmark,10358,Aarhus,Mexico,21451,Veracruz,5345
Denmark,10358,Aarhus,Netherlands,23247,Vlissingen,630
Algeria,13523,Algiers,Denmark,10358,Aarhus,2300
Algeria,13523,Algiers,Turkey,246265,Ambarli,1369
Algeria,13523,Algiers,Belgium,19057,Antwerp,1778
Algeria,13523,Algiers,Greece,21863,Aspropyrgos,1079
Algeria,13523,Algiers,Argentina,14113,Bahia Blanca,5979
Algeria,13523,Algiers,Panama,216593,Balboa,4776
Algeria,13523,Algiers,Spain,17386,Barcelona,279
Algeria,13523,Algiers,Georgia,18137,Batumi,1970
Algeria,13523,Algiers,Norway,26147,Bergen,2224
Algeria,13523,Algiers,Tunisia,23448,Bizerte,333
Algeria,13523,Algiers,Bulgaria,20826,Bourgas,1510
Algeria,13523,Algiers,France,18012,Brest,1354
Algeria,13523,Algiers,Colombia,28261,Buenaventura,5130
Algeria,13523,Algiers,Argentina,26670,Buenos Aires,5701
Algeria,13523,Algiers,Peru,30045,Callao,6116
Algeria,13523,Algiers,Colombia,28313,Cartagena,4511
Algeria,13523,Algiers,Romania,14459,Constantza,1580
Algeria,13523,Algiers,Denmark,10563,Copenhagen,2324
Algeria,13523,Algiers,Panama,216592,Cristobal,4737
Algeria,13523,Algiers,El Salvador,15107,Cutuco,5517
Algeria,13523,Algiers,Ireland,29749,Dublin,1608
Algeria,13523,Algiers,France,18326,Dunkirk,1674
Algeria,13523,Algiers,Ecuador,14226,Esmeraldas,5256
Algeria,13523,Algiers,Ukraine,213737,Feodosia,1775
Algeria,13523,Algiers,Portugal,23428,Funchal,1020
Algeria,13523,Algiers,Tunisia,23495,Gabes,625
Algeria,13523,Algiers,Romania,14470,Galatz,1704
Algeria,13523,Algiers,Poland,12543,Gdansk,2590
Algeria,13523,Algiers,Italy,11174,Genoa,528
Algeria,13523,Algiers,Puerto Rico,13610,Guanica,3835
Algeria,13523,Algiers,Ecuador,29876,Guayaquil,5613
Algeria,13523,Algiers,Canada,22226,Halifax,3126
Algeria,13523,Algiers,Germany,224858,Hamburg,2026
Algeria,13523,Algiers,Finland,16485,Helsinki,2874
Algeria,13523,Algiers,Portugal,18433,Horta,1536
Algeria,13523,Algiers,Slovenia,24795,Izola,1236
Algeria,13523,Algiers,Russia,11771,Kaliningrad,2625
Algeria,13523,Algiers,Slovenia,21381,Koper,1236
Algeria,13523,Algiers,Finland,16737,Kotka,2929
Algeria,13523,Algiers,Cyprus,10136,Larnaca,1511
Algeria,13523,Algiers,Portugal,13012,Leixoes,866
Algeria,13523,Algiers,United Kingdom,29002,Liverpool,1678
Algeria,13523,Algiers,United Kingdom,29239,London,1732
Algeria,13523,Algiers,United States,14635,Los Angeles,7688
Algeria,13523,Algiers,Sweden,20512,Lysekil,2208
Algeria,13523,Algiers,Mexico,14277,Manzanillo,6501
Algeria,13523,Algiers,Venezuela,19974,Maracaibo,4297
Algeria,13523,Algiers,Peru,10860,Matarani,6551
Algeria,13523,Algiers,Turkey,22522,Mersin,1551
Algeria,13523,Algiers,Monaco,21457,Monaco,459
Algeria,13523,Algiers,Uruguay,17941,Montevideo,5604
Algeria,13523,Algiers,Norway,27728,Narvik,2820
Algeria,13523,Algiers,United States,25007,New Jersey,3625
Algeria,13523,Algiers,Greece,21852,Piraeus,1071
Algeria,13523,Algiers,Slovenia,22770,Piran,1236
Algeria,13523,Algiers,Portugal,18476,Ponta Delgada,1394
Algeria,13523,Algiers,Georgia,18682,Poti,1987
Algeria,13523,Algiers,Costa Rica,28781,Puerto Limon,4870
Algeria,13523,Algiers,Guatemala,29973,Puerto Quetzal,5665
Algeria,13523,Algiers,Croatia,24951,Rijeka,1200
Algeria,13523,Algiers,Brazil,20301,Rio Grande,5310
Algeria,13523,Algiers,Germany,20072,Rostock,2433
Algeria,13523,Algiers,Brazil,20351,Salvador,3924
Algeria,13523,Algiers,Puerto Rico,13756,San Juan,3766
Algeria,13523,Algiers,Chile,27792,San Vicente,7578
Algeria,13523,Algiers,Brazil,27248,Santos,4789
Algeria,13523,Algiers,Portugal,13390,Setubal,696
Algeria,13523,Algiers,Algeria,15990,Skikda,191
Algeria,13523,Algiers,Croatia,21556,Split,1080
Algeria,13523,Algiers,Russia,18454,St Petersburg,3015
Algeria,13523,Algiers,Sweden,21206,Stockholm,2746
Algeria,13523,Algiers,Estonia,18867,Tallinn,2853
Algeria,13523,Algiers,Spain,18937,Valencia,226
Algeria,13523,Algiers,Chile,28082,Valparaiso,7391
Algeria,13523,Algiers,Canada,25350,Vancouver,8797
Algeria,13523,Algiers,Bulgaria,20847,Varna,1533
Algeria,13523,Algiers,Italy,13176,Venice,1256
Algeria,13523,Algiers,Mexico,21451,Veracruz,5231
Algeria,13523,Algiers,Netherlands,23247,Vlissingen,1728
Algeria,13523,Algiers,Belgium,19473,Zeebrugge,1707
Turkey,246265,Ambarli,Ukraine,213737,Feodosia,406
Turkey,246265,Ambarli,United Kingdom,29002,Liverpool,3051
Turkey,246265,Ambarli,United Kingdom,29239,London,3105
Turkey,246265,Ambarli,United States,14635,Los Angeles,9061
Turkey,246265,Ambarli,Venezuela,19974,Maracaibo,5670
Turkey,246265,Ambarli,Turkey,22522,Mersin,735
Turkey,246265,Ambarli,Uruguay,17941,Montevideo,6977
Turkey,246265,Ambarli,United States,25007,New Jersey,4998
Belgium,19057,Antwerp,Denmark,10358,Aarhus,680
Belgium,19057,Antwerp,Turkey,246265,Ambarli,3151
Belgium,19057,Antwerp,Greece,21863,Aspropyrgos,2855
Belgium,19057,Antwerp,Panama,216593,Balboa,4845
Belgium,19057,Antwerp,Spain,17386,Barcelona,1881
Belgium,19057,Antwerp,Georgia,18137,Batumi,3752
Belgium,19057,Antwerp,Norway,26147,Bergen,635
Belgium,19057,Antwerp,Tunisia,23448,Bizerte,2109
Belgium,19057,Antwerp,Bulgaria,20826,Bourgas,3292
Belgium,19057,Antwerp,France,18012,Brest,482
Belgium,19057,Antwerp,Colombia,28261,Buenaventura,5199
Belgium,19057,Antwerp,Peru,30045,Callao,6185
Belgium,19057,Antwerp,Colombia,28313,Cartagena,4591
Belgium,19057,Antwerp,Romania,14459,Constantza,3362
Belgium,19057,Antwerp,Denmark,10563,Copenhagen,704
Belgium,19057,Antwerp,Panama,216592,Cristobal,4806
Belgium,19057,Antwerp,El Salvador,15107,Cutuco,5586
Belgium,19057,Antwerp,Ireland,29749,Dublin,633
Belgium,19057,Antwerp,France,18326,Dunkirk,146
Belgium,19057,Antwerp,Ecuador,14226,Esmeraldas,5325
Belgium,19057,Antwerp,Ukraine,213737,Feodosia,3557
Belgium,19057,Antwerp,Portugal,23428,Funchal,1536
Belgium,19057,Antwerp,Tunisia,23495,Gabes,2401
Belgium,19057,Antwerp,Romania,14470,Galatz,3486
Belgium,19057,Antwerp,Poland,12543,Gdansk,970
Belgium,19057,Antwerp,Italy,11174,Genoa,2213
Belgium,19057,Antwerp,Puerto Rico,13610,Guanica,3942
Belgium,19057,Antwerp,Ecuador,29876,Guayaquil,5682
Belgium,19057,Antwerp,Canada,22226,Halifax,2787
Belgium,19057,Antwerp,Germany,224858,Hamburg,405
Belgium,19057,Antwerp,Finland,16485,Helsinki,1254
Belgium,19057,Antwerp,Slovenia,24795,Izola,3010
Belgium,19057,Antwerp,Russia,11771,Kaliningrad,1005
Belgium,19057,Antwerp,Slovenia,21381,Koper,3010
Belgium,19057,Antwerp,Finland,16737,Kotka,1309
Belgium,19057,Antwerp,Cyprus,10136,Larnaca,3287
Belgium,19057,Antwerp,Portugal,13012,Leixoes,935
Belgium,19057,Antwerp,United Kingdom,29002,Liverpool,698
Belgium,19057,Antwerp,United Kingdom,29239,London,196
Belgium,19057,Antwerp,United States,14635,Los Angeles,7757
Belgium,19057,Antwerp,Sweden,20512,Lysekil,588
Belgium,19057,Antwerp,Mexico,14277,Manzanillo,6570
Belgium,19057,Antwerp,Venezuela,19974,Maracaibo,4426
Belgium,19057,Antwerp,Peru,10860,Matarani,6620
Belgium,19057,Antwerp,Turkey,22522,Mersin,3327
Belgium,19057,Antwerp,Monaco,21457,Monaco,2135
Belgium,19057,Antwerp,Uruguay,17941,Montevideo,6249
Belgium,19057,Antwerp,Norway,27728,Narvik,1230
Belgium,19057,Antwerp,United States,25007,New Jersey,3395
Belgium,19057,Antwerp,Greece,21852,Piraeus,2847
Belgium,19057,Antwerp,Slovenia,22770,Piran,3010
Belgium,19057,Antwerp,Georgia,18682,Poti,3769
Belgium,19057,Antwerp,Costa Rica,28781,Puerto Limon,4890
Belgium,19057,Antwerp,Guatemala,29973,Puerto Quetzal,5734
Belgium,19057,Antwerp,Croatia,24951,Rijeka,2974
Belgium,19057,Antwerp,Brazil,20301,Rio Grande,5956
Belgium,19057,Antwerp,Germany,20072,Rostock,813
Belgium,19057,Antwerp,Brazil,20351,Salvador,4563
Belgium,19057,Antwerp,Puerto Rico,13756,San Juan,3853
Belgium,19057,Antwerp,Chile,27792,San Vicente,7647
Belgium,19057,Antwerp,Brazil,27248,Santos,5435
Belgium,19057,Antwerp,Portugal,13390,Setubal,1117
Belgium,19057,Antwerp,Croatia,21556,Split,2854
Belgium,19057,Antwerp,Russia,18454,St Petersburg,1395
Belgium,19057,Antwerp,Sweden,21206,Stockholm,1126
Belgium,19057,Antwerp,Estonia,18867,Tallinn,1233
Belgium,19057,Antwerp,Spain,18937,Valencia,1753
Belgium,19057,Antwerp,Chile,28082,Valparaiso,7460
Belgium,19057,Antwerp,Canada,25350,Vancouver,8866
Belgium,19057,Antwerp,Bulgaria,20847,Varna,3315
Belgium,19057,Antwerp,Italy,13176,Venice,3030
Belgium,19057,Antwerp,Mexico,21451,Veracruz,5109
Belgium,19057,Antwerp,Netherlands,23247,Vlissingen,50
Belgium,19057,Antwerp,Belgium,19473,Zeebrugge,87
Greece,21863,Aspropyrgos,Turkey,246265,Ambarli,345
Greece,21863,Aspropyrgos,Panama,216593,Balboa,5853
Greece,21863,Aspropyrgos,Spain,17386,Barcelona,1164
Greece,21863,Aspropyrgos,Norway,26147,Bergen,3301
